Name,Value,Comment
Name,Blog,
WeblogName,&Blog name:,
Configuration,Configuration,
WeblogProvider,Blog service:,
HomepageUrl,Website address:,
Username,User name:,
Password,Password:,
Capabilities,Blog Service &capabilities:,
ViewWeblogCapabilities,See blog capabilities,
UpdateAccountConfiguration,&Update account information...,
PostEditorTitleRegion,Post Title,
PostEditorBodyRegion,Post Body,
ClickToViewMap,Click to view this map on Live.com,
ViewMap,View map,
NotConnected,You must be connected to the Internet to insert and edit maps.,
ConnectionRequired,Internet Connection Required,
InsertMap,Insert Map,
CustomizeMap,Customize Map,
InsertButtonText,Insert,
MapImageAltText,Map picture,
OKButtonText,OK,
PushpinValidationError,"Couldn't find the location for the pin that you entered at this time.

Do you still want to set this web address as your custom pin?",
ServiceName,Live Search Maps,
Map,Map,
MapAlignInline,Inline,
MapAlignLeft,Left,
MapAlignRight,Right,
MapAlignCenter,Center,
MapNoMargins,No Margins,
MapCustomMargins,Custom Margins,
MapStyle,Map Style,
MapDirectionNorth,North,
MapDirectionEast,East,
MapDirectionSouth,South,
MapDirectionWest,West,
MapZoomIn,Zoom In,
MapZoomOut,Zoom Out,
MapZoomSlider,Zoom Slider,
MapSearch,Search,
MapBirdseyeButton,Toggle Bird's eye View,
MapSeeInBirdseye,See the Bird's eye view of this location,
MapFindAddress,&Find location:,
MapBirdseyeLabel,&Bird's eye,
MapShowLabel,Sho&w labels,
MapPushpinTip,Tip: Right-click the map to add a pin,
MapRoad,Road,
MapAerial,Aerial,
MapBirdseye,Bird's eye,
SemanticHtmlPreviewText,AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZz, Sample text rendered to give the user an idea what each style in the HTML styles gallery looks like,
AddButton,A&dd...,"Add new blog, add to link glossary, etc."
EditButton,&Edit...,"Edit blog, glossary entry, etc."
DeleteButton,Re&move...,"Delete blog, glossary entry, etc."
ViewButton,&View,View blog
ConfigureProduct,Configure {0},"{0} - Product name, i.e. ""Open Live Writer"""
WizardBlogTypeWelcome,"Many popular blog services work with {0}.","{0} - Long product name, i.e. ""Open Live Writer"""
WizardBlogTypeWhatBlogType,What blog service do you use?,
WizardBlogTypeConfigureTo,Configure {0} to publish to:,"{0} - Long product name, i.e. ""Open Live Writer""; followed by a choice of two options: ""SharePoint blog"" or ""Another blog service"""
WizardBlogTypeSharePoint,&SharePoint,
WizardBlogTypeGoogleBlogger,&Google Blogger,
WizardBlogTypeOther,&Other services,
Options,Options,
AllowAutoUpdate,"Automatically &update account information (categories, links, capabilities, and provider extensions)",
AllowProviderExtensions,Allow &blog provider extensions (buttons added to the Shortcuts group on the Accounts tab in the ribbon),
PanelNameAccounts,Accounts,"As in, Blog Accounts"
PostEditorPrefEditing,Editing,
PostEditorPrefPostWindows,Post window,
PostEditorPrefPublishing,Publishing,
PostEditorPrefRemind,Remind me to add &tags before publishing,
PostEditorPrefRemindCat,Remind me to add &categories before publishing,
PostEditorPrefClose,Close &window after publishing,
PostEditorPrefView,&View blog after publishing,
PostEditorPrefAuto,Save A&utoRecover information periodically,
PostEditorPrefSide,S&how taskpane when editable items are inserted,
PostEditorPrefUnsave,Open a new window &only when there are unsaved changes to the current post,
PostEditorPrefSingle,Use a &single window for editing all posts,
PostEditorPrefNew,Open a new window for &each post,
PostEditorPrefTitle,&Remind me to type a title before publishing,
PostEditorPrefName,Preferences,
PostEditorPrefGeneral,General options,
SpellingPrefOptions,General options,
SpellingPrefReal,Use &real-time spell checking (squiggles),
